BLOOM_START,BLOOM_END,CULTIVAR_NAME
10/03/2022,31/03/2022,ATROPURPUREUM
20/04/2022,10/05/2022,KWANZAN
01/04/2022,30/04/2022,SPIRE
01/05/2022,30/05/2022,PINK PERFECTION
20/03/2022,10/04/2022,AKEBONO
20/04/2022,10/05/2022,PLENA
10/03/2022,31/03/2022,NIGRA
01/04/2022,30/04/2022,SCHUBERT
20/03/2022,10/04/2022,RANCHO
20/04/2022,10/05/2022,UKON
01/01/2022,02/28/2022,AUTUMNALIS
10/04/2022,30/04/2022,SHIROTAE
01/05/2022,30/05/2022,SHIROFUGEN
20/03/2022,04/10.2022,YOSHINO
10/03/2022,31/03/2022,PURPLE HAZE
10/03/2022,31/03/2022,THUNDERCLOUD
01/03/2022,10/04/2022,PENDULA
01/02/2022,30/03/2022,ACCOLADE
15/04/2022,30/05/2022,AMANOGAWA
01/02/2022,30/03/2022,WHITCOMBEI
20/03/2022,10/04/2022,COLUMNARE
20/04/2022,10/05/2022,MIKURUMA-GAESHI
01/04/2022,30/04/2022,BAILEY SELECT
10/04/2022,30/04/2022,TAI HAKU
01/05/2022,30/05/2022,SHOGETSU
01/04/2022,20/04/2022,SNOW GOOSE
01/04/2022,30/04/2022,KIKU SHIDARE ZAKURA
10/03/2022,31/03/2022,PURPUREA
